"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.10.2020","3.272,71","3.363,23","3.399,66","3.160,00","6,47M","-1,98%"
"15.10.2020","3.338,65","3.285,08","3.355,11","3.285,00","5,22M","-0,75%"
"14.10.2020","3.363,71","3.448,41","3.463,00","3.340,00","5,83M","-2,32%"
"13.10.2020","3.443,63","3.467,00","3.492,38","3.425,27","5,74M","0,02%"
"12.10.2020","3.442,93","3.348,51","3.495,23","3.340,87","8,36M","4,75%"
"09.10.2020","3.286,65","3.210,00","3.288,99","3.197,83","4,91M","3,01%"
"08.10.2020","3.190,55","3.224,01","3.231,38","3.175,00","3,17M","-0,16%"
"07.10.2020","3.195,69","3.135,99","3.199,74","3.135,00","4,31M","3,09%"
"06.10.2020","3.099,96","3.169,00","3.181,22","3.090,00","5,09M","-3,10%"
"05.10.2020","3.199,20","3.145,84","3.202,53","3.140,85","3,78M","2,37%"
"02.10.2020","3.125,00","3.153,63","3.195,80","3.123,00","5,61M","-2,99%"
"01.10.2020","3.221,26","3.208,00","3.224,00","3.173,30","4,97M","2,30%"
"30.09.2020","3.148,73","3.144,88","3.212,75","3.134,62","4,90M","0,12%"
"29.09.2020","3.144,88","3.176,48","3.188,00","3.134,29","3,50M","-0,92%"
"28.09.2020","3.174,05","3.148,96","3.174,46","3.118,55","4,22M","2,55%"
"25.09.2020","3.095,13","3.054,86","3.101,54","2.999,00","4,62M","2,49%"
"24.09.2020","3.019,79","2.973,24","3.069,17","2.966,00","5,53M","0,66%"
"23.09.2020","2.999,86","3.120,44","3.124,64","2.993,88","5,65M","-4,13%"
"22.09.2020","3.128,99","3.033,84","3.133,99","3.001,01","6,95M","5,69%"
"21.09.2020","2.960,47","2.909,87","2.961,17","2.873,20","6,12M","0,19%"
"18.09.2020","2.954,91","3.031,74","3.037,80","2.905,54","8,89M","-1,79%"
"17.09.2020","3.008,73","3.004,85","3.028,74","2.973,15","6,45M","-2,25%"
"16.09.2020","3.078,10","3.184,44","3.184,44","3.075,00","4,53M","-2,47%"
"15.09.2020","3.156,13","3.137,77","3.174,10","3.109,43","4,02M","1,71%"
"14.09.2020","3.102,97","3.173,74","3.185,69","3.096,80","4,53M","-0,43%"
"11.09.2020","3.116,22","3.208,69","3.217,34","3.083,98","5,09M","-1,85%"
"10.09.2020","3.175,11","3.304,90","3.348,50","3.171,27","5,33M","-2,86%"
"09.09.2020","3.268,61","3.207,50","3.302,28","3.186,57","5,19M","3,77%"
"08.09.2020","3.149,84","3.139,59","3.250,00","3.131,00","6,09M","-4,39%"
"04.09.2020","3.294,62","3.318,00","3.381,50","3.111,13","8,78M","-2,18%"
"03.09.2020","3.368,00","3.478,67","3.487,49","3.303,00","8,16M","-4,63%"
"02.09.2020","3.531,45","3.545,33","3.549,00","3.487,00","3,93M","0,92%"
"01.09.2020","3.499,12","3.489,58","3.513,87","3.467,00","3,38M","1,40%"
"31.08.2020","3.450,96","3.405,56","3.494,00","3.405,00","4,19M","1,45%"
"28.08.2020","3.401,80","3.423,00","3.433,37","3.386,50","2,90M","0,05%"
"27.08.2020","3.400,00","3.451,74","3.451,74","3.382,36","4,26M","-1,22%"
"26.08.2020","3.441,85","3.351,11","3.451,00","3.345,00","6,51M","2,85%"
"25.08.2020","3.346,49","3.292,00","3.357,00","3.267,00","3,99M","1,18%"
"24.08.2020","3.307,46","3.310,51","3.380,00","3.260,00","4,67M","0,69%"
"21.08.2020","3.284,72","3.295,00","3.314,40","3.275,39","3,58M","-0,38%"
"20.08.2020","3.297,37","3.251,95","3.312,62","3.240,00","3,33M","1,13%"
"19.08.2020","3.260,48","3.304,53","3.315,00","3.257,08","4,19M","-1,57%"
"18.08.2020","3.312,49","3.212,02","3.320,00","3.207,55","5,35M","4,09%"
"17.08.2020","3.182,41","3.168,01","3.194,43","3.155,00","2,69M","1,09%"
"14.08.2020","3.148,02","3.178,18","3.178,24","3.120,00","2,75M","-0,41%"
"13.08.2020","3.161,02","3.181,00","3.216,85","3.155,01","3,15M","-0,04%"
"12.08.2020","3.162,24","3.108,00","3.174,00","3.104,00","3,53M","2,65%"
"11.08.2020","3.080,67","3.109,96","3.157,73","3.074,29","3,72M","-2,14%"
"10.08.2020","3.148,16","3.170,18","3.170,18","3.103,00","3,17M","-0,61%"
"07.08.2020","3.167,46","3.224,01","3.240,81","3.140,67","3,94M","-1,78%"
"06.08.2020","3.225,00","3.195,40","3.245,83","3.165,51","3,94M","0,62%"
"05.08.2020","3.205,03","3.142,10","3.213,34","3.129,00","3,93M","2,11%"
"04.08.2020","3.138,83","3.112,00","3.166,07","3.102,00","4,69M","0,87%"
"03.08.2020","3.111,89","3.182,60","3.182,60","3.104,43","5,07M","-1,67%"
"31.07.2020","3.164,68","3.244,00","3.246,82","3.151,00","8,08M","3,70%"
"30.07.2020","3.051,88","3.013,55","3.091,00","3.005,00","6,13M","0,60%"
"29.07.2020","3.033,53","3.030,99","3.039,16","2.996,77","2,97M","1,11%"
"28.07.2020","3.000,33","3.056,54","3.073,97","2.996,55","3,13M","-1,80%"
"27.07.2020","3.055,21","3.062,00","3.096,94","3.017,21","4,17M","1,54%"
"24.07.2020","3.008,91","2.930,00","3.031,58","2.888,00","5,63M","0,75%"
"23.07.2020","2.986,55","3.095,37","3.095,37","2.971,16","5,66M","-3,66%"
"22.07.2020","3.099,91","3.122,78","3.146,88","3.068,00","4,10M","-1,22%"
"21.07.2020","3.138,29","3.232,41","3.236,21","3.108,46","6,13M","-1,83%"
"20.07.2020","3.196,84","3.000,20","3.201,36","2.994,02","7,60M","7,93%"
"17.07.2020","2.961,97","3.009,00","3.024,00","2.948,45","4,76M","-1,26%"
"16.07.2020","2.999,90","2.971,00","3.030,00","2.920,00","6,39M","-0,30%"
"15.07.2020","3.008,87","3.080,95","3.098,35","2.975,17","5,79M","-2,44%"
"14.07.2020","3.084,00","3.085,00","3.123,29","2.956,14","7,23M","-0,64%"
"13.07.2020","3.104,00","3.251,52","3.344,00","3.070,57","7,72M","-3,00%"
"10.07.2020","3.200,00","3.191,76","3.215,00","3.135,70","5,49M","0,55%"
"09.07.2020","3.182,63","3.113,87","3.192,93","3.075,59","6,39M","3,29%"
"08.07.2020","3.081,11","3.021,10","3.083,07","3.014,00","5,04M","2,70%"
"07.07.2020","3.000,12","3.058,55","3.069,55","2.990,00","5,26M","-1,86%"
"06.07.2020","3.057,04","2.932,74","3.059,01","2.931,29","6,88M","5,77%"
"02.07.2020","2.890,30","2.912,01","2.955,56","2.871,10","6,59M","0,40%"
"01.07.2020","2.878,70","2.757,99","2.895,00","2.754,00","6,36M","4,35%"
"30.06.2020","2.758,82","2.685,16","2.769,01","2.676,01","3,77M","2,93%"
"29.06.2020","2.680,38","2.690,00","2.695,85","2.635,01","4,22M","-0,46%"
