"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"16.10.2020","219,66","220,15","222,29","219,32","26,06M","0,00%"
"15.10.2020","219,66","216,80","220,32","216,47","22,73M","-0,54%"
"14.10.2020","220,86","222,98","224,18","219,14","23,45M","-0,90%"
"13.10.2020","222,86","222,30","225,08","220,46","28,95M","0,66%"
"12.10.2020","221,40","218,71","223,84","216,82","40,46M","2,59%"
"09.10.2020","215,81","211,23","215,86","211,23","26,46M","2,48%"
"08.10.2020","210,58","210,50","211,17","208,42","19,93M","0,36%"
"07.10.2020","209,83","207,27","209,99","206,77","25,68M","1,90%"
"06.10.2020","205,91","208,87","210,16","205,00","28,55M","-2,12%"
"05.10.2020","210,38","207,22","210,41","206,98","21,33M","2,03%"
"02.10.2020","206,19","208,00","210,99","205,54","33,15M","-2,95%"
"01.10.2020","212,46","213,59","213,98","211,39","27,16M","1,01%"
"30.09.2020","210,33","207,72","211,96","206,57","33,83M","1,48%"
"29.09.2020","207,26","209,53","210,07","206,83","24,46M","-1,04%"
"28.09.2020","209,44","211,06","212,51","208,08","32,00M","0,78%"
"25.09.2020","207,82","203,55","209,04","202,54","29,44M","2,28%"
"24.09.2020","203,19","199,35","205,57","199,35","31,20M","1,30%"
"23.09.2020","200,59","207,55","208,02","200,06","30,80M","-3,29%"
"22.09.2020","207,42","205,03","208,08","202,12","33,52M","2,41%"
"21.09.2020","202,54","196,98","202,58","196,43","39,84M","1,07%"
"18.09.2020","200,39","202,80","203,65","196,25","55,23M","-1,24%"
"17.09.2020","202,91","200,00","204,28","200,00","34,01M","-1,04%"
"16.09.2020","205,05","210,06","210,06","204,80","26,37M","-1,79%"
"15.09.2020","208,78","208,18","209,73","207,00","21,82M","1,64%"
"14.09.2020","205,41","204,43","209,18","204,04","30,38M","0,68%"
"11.09.2020","204,03","207,20","208,63","201,24","33,62M","-0,65%"
"10.09.2020","205,37","213,51","214,65","204,11","35,46M","-2,80%"
"09.09.2020","211,29","207,90","214,82","206,85","45,68M","4,26%"
"08.09.2020","202,66","206,46","209,93","202,41","52,92M","-5,41%"
"04.09.2020","214,25","215,10","218,36","205,19","59,66M","-1,40%"
"03.09.2020","217,30","229,04","229,31","215,01","58,40M","-6,19%"
"02.09.2020","231,65","227,72","232,86","227,59","34,08M","1,93%"
"01.09.2020","227,27","225,51","227,45","224,43","24,85M","0,77%"
"31.08.2020","225,53","227,00","228,61","224,36","28,77M","-1,48%"
"28.08.2020","228,91","228,18","230,64","226,58","26,29M","1,03%"
"27.08.2020","226,58","222,53","231,09","219,42","57,60M","2,46%"
"26.08.2020","221,15","217,85","222,08","217,40","39,60M","2,16%"
"25.08.2020","216,47","213,10","216,52","213,10","23,04M","1,30%"
"24.08.2020","213,69","214,80","215,51","212,49","25,46M","0,31%"
"21.08.2020","213,02","213,86","216,25","212,85","36,25M","-0,73%"
"20.08.2020","214,58","209,54","214,99","208,96","26,98M","2,33%"
"19.08.2020","209,70","211,56","212,09","209,39","27,63M","-0,85%"
"18.08.2020","211,49","210,63","212,35","209,22","21,34M","0,58%"
"17.08.2020","210,28","209,68","211,18","208,94","20,18M","0,66%"
"14.08.2020","208,90","208,76","209,59","207,51","17,96M","0,10%"
"13.08.2020","208,70","209,57","211,33","208,21","22,59M","-0,23%"
"12.08.2020","209,19","205,37","210,25","204,82","28,04M","2,86%"
"11.08.2020","203,38","207,16","207,62","203,14","36,45M","-2,34%"
"10.08.2020","208,25","211,38","211,38","206,35","36,72M","-1,99%"
"07.08.2020","212,48","214,85","215,70","210,93","27,82M","-1,79%"
"06.08.2020","216,35","212,45","216,37","211,61","32,66M","1,60%"
"05.08.2020","212,94","214,65","214,65","211,57","28,86M","-0,16%"
"04.08.2020","213,29","214,27","214,76","210,36","49,28M","-1,50%"
"03.08.2020","216,54","211,69","217,62","210,54","78,98M","5,62%"
"31.07.2020","205,01","204,40","205,10","199,01","51,25M","0,54%"
"30.07.2020","203,90","201,07","204,41","199,64","25,08M","-0,08%"
"29.07.2020","204,06","202,50","204,65","202,01","19,63M","1,01%"
"28.07.2020","202,02","203,87","204,67","201,95","23,25M","-0,90%"
"27.07.2020","203,85","201,87","203,97","200,89","30,16M","1,27%"
"24.07.2020","201,30","200,42","202,86","197,51","39,83M","-0,61%"
"23.07.2020","202,54","207,13","210,86","202,22","67,46M","-4,35%"
"22.07.2020","211,75","209,17","212,27","208,40","49,61M","1,44%"
"21.07.2020","208,75","213,31","213,31","208,06","38,11M","-1,35%"
"20.07.2020","211,60","205,00","212,30","203,01","36,88M","4,30%"
"17.07.2020","202,88","204,47","205,04","201,39","31,64M","-0,51%"
"16.07.2020","203,92","205,21","205,59","202,35","29,94M","-1,98%"
"15.07.2020","208,04","209,63","211,28","205,07","32,18M","-0,15%"
"14.07.2020","208,35","205,25","208,82","202,18","37,59M","0,62%"
"13.07.2020","207,07","214,80","215,80","206,69","38,14M","-3,09%"
"10.07.2020","213,67","213,62","214,08","211,08","26,18M","-0,30%"
"09.07.2020","214,32","216,31","216,35","211,54","33,12M","0,70%"
"08.07.2020","212,83","210,00","213,24","208,70","33,60M","2,20%"
"07.07.2020","208,25","210,45","214,67","207,99","33,60M","-1,16%"
"06.07.2020","210,70","208,73","211,12","208,10","31,90M","2,15%"
"02.07.2020","206,26","205,68","208,02","205,00","29,32M","0,76%"
"01.07.2020","204,70","203,14","206,35","201,77","32,06M","0,58%"
"30.06.2020","203,51","197,90","204,32","197,77","34,31M","2,55%"
"29.06.2020","198,44","195,58","198,51","193,57","26,70M","1,07%"
"26.06.2020","196,33","199,53","199,84","194,90","54,68M","-2,00%"
"25.06.2020","200,34","197,86","200,54","195,48","27,80M","1,26%"
"24.06.2020","197,84","201,77","203,22","196,61","36,74M","-2,02%"
"23.06.2020","201,91","201,88","203,93","201,49","30,92M","0,67%"
"22.06.2020","200,57","195,68","200,71","195,24","32,82M","2,78%"
"19.06.2020","195,15","198,55","199,28","194,40","44,44M","-0,60%"
"18.06.2020","196,32","194,01","196,47","194,01","23,06M","1,07%"
"17.06.2020","194,24","194,93","196,32","193,76","25,69M","0,35%"
"16.06.2020","193,57","192,85","195,53","191,50","42,56M","2,45%"
"15.06.2020","188,94","184,06","190,80","184,06","32,77M","0,64%"
"12.06.2020","187,74","190,54","191,72","185,18","43,37M","0,79%"
"11.06.2020","186,27","193,04","195,73","186,16","52,85M","-5,37%"
"10.06.2020","196,84","191,13","198,50","191,09","43,87M","3,71%"
"09.06.2020","189,80","188,14","190,70","187,29","29,78M","0,76%"
"08.06.2020","188,36","185,91","188,49","184,45","33,21M","0,62%"
"05.06.2020","187,20","182,62","187,73","182,01","39,89M","2,34%"
"04.06.2020","182,92","184,34","185,83","182,31","28,76M","-1,32%"
"03.06.2020","185,36","184,97","185,72","183,58","27,31M","0,24%"
"02.06.2020","184,91","184,25","185,00","181,35","30,79M","1,14%"
"01.06.2020","182,83","182,35","182,99","181,48","22,67M","-0,23%"
"29.05.2020","183,25","182,73","184,27","180,41","42,15M","1,02%"
"28.05.2020","181,40","180,83","184,14","180,42","33,83M","-0,23%"
"27.05.2020","181,81","180,06","181,96","176,61","39,52M","0,13%"
"26.05.2020","181,57","186,46","186,46","181,14","36,07M","-1,06%"
"22.05.2020","183,51","183,19","184,46","182,54","20,83M","0,04%"
"21.05.2020","183,43","185,60","186,66","183,31","29,12M","-1,20%"
"20.05.2020","185,66","184,64","185,80","183,96","31,26M","1,11%"
"19.05.2020","183,63","184,97","186,57","183,57","26,80M","-0,69%"
"18.05.2020","184,91","185,32","186,20","184,06","35,31M","0,96%"
"15.05.2020","183,16","179,15","183,46","177,02","46,61M","1,46%"
"14.05.2020","180,53","177,60","180,65","175,70","41,87M","0,43%"
"13.05.2020","179,75","182,55","184,03","176,61","44,71M","-1,51%"
"12.05.2020","182,51","186,80","187,04","182,30","32,04M","-2,27%"
"11.05.2020","186,74","183,15","187,51","182,85","30,89M","1,12%"
"08.05.2020","184,68","184,98","185,00","183,36","30,91M","0,59%"
"07.05.2020","183,60","184,17","184,55","182,58","28,32M","0,58%"
"06.05.2020","182,54","182,08","184,20","181,63","32,14M","0,98%"
"05.05.2020","180,76","180,62","183,65","179,90","36,84M","1,07%"
"04.05.2020","178,84","174,49","179,00","173,80","30,37M","2,45%"
"01.05.2020","174,57","175,80","178,64","174,01","39,37M","-2,59%"
"30.04.2020","179,21","180,00","180,40","176,23","53,88M","1,00%"
"29.04.2020","177,43","173,22","177,68","171,88","51,29M","4,49%"
"28.04.2020","169,81","175,59","175,67","169,39","34,39M","-2,44%"
"27.04.2020","174,05","176,59","176,90","173,30","33,19M","-0,29%"
"24.04.2020","174,55","172,06","174,56","170,71","34,31M","1,83%"
"23.04.2020","171,42","174,11","175,06","170,91","32,79M","-1,21%"
"22.04.2020","173,52","171,39","174,00","170,82","34,65M","3,40%"
"21.04.2020","167,82","173,50","173,67","166,11","56,20M","-4,14%"
"20.04.2020","175,06","176,63","178,75","174,99","36,67M","-1,98%"
"17.04.2020","178,60","179,50","180,00","175,87","52,77M","0,88%"
"16.04.2020","177,04","174,30","177,28","172,90","50,48M","3,00%"
"15.04.2020","171,88","171,20","173,57","169,24","40,94M","-1,05%"
"14.04.2020","173,70","169,00","173,75","168,00","52,87M","4,95%"
"13.04.2020","165,51","164,35","165,57","162,30","41,91M","0,22%"
"09.04.2020","165,14","166,36","167,37","163,33","51,43M","0,01%"
"08.04.2020","165,13","165,67","166,67","163,50","48,32M","1,00%"
